"{I}r	ir
"{W}az	waz
%Rovbet	roubet
%jſt	ist
%paffen	pfaffen
%ſwelich	swelich
%ſᵃˡ	sal
&	et
&	et
(Jo.)	Johannes
(XVI.)(.)	--
(cui)	--
(ſem̄)	--
*((D)*)it	dit
*{(I*})ch	ich
+e	[!!]
------	--
.	--
...?	--
...a	--
...d	--
...e	--
...elen	--
...getane	--
...lē	--
...uchen	--
..er	oder
..tw	--
..u	--
.N	--
.iij	iii
.oſten	ôsten
.r	[in]
.u	--
.vj	vi
1ieze	lieze
1ꝫ50	--
1ꝫꝝ8	--
1ꝫꝝ	--
<...>	--
<..>	--
<v><.>̄	unde
@E	[!!]
@K	[!!]
A	â
A%ſprian	Aspriân
A...	--
ABer	aber
AD	at
ADNVNCIATIONEM	--
AInmirat	Ainmirat
ALIT̄	aliter
ALfric	Alfric
ALgaphiles	Algaphiles
ALle	alle
ALrin	alrichen
ALs	als
ALterot	Alterot
ALſ	als
ALſame	alsame
ALſo	alsô
AM	amen
AMBVLABVNT	--
AMEN	âmen
AMarezur	Amarezur
AMeN	âmen
AMen	âmen
AM̄	âmen
AN	an
ANder	ander
ANdereſ	anderes
ANe	âne
ANgelirs	Engelirs
ANhoh	Anhoch
ANte	--
ANtiochvſ	--
ANtiph̄	--
ANtiquis	antiquis
AṄDERER	anderer
APollo	Apollo
ARfaxat	--
ARnolt	Arnolt
ARtvſ	Artûs
AVRIV̄	aurium
A\êderlí	Æderlî
Aa	â
Aal	al
Aaller	aller
Aallerſchoneſte	allerschoeneste
Aallerſeligeſte	allersæligeste
Aallerſuziſte	allersüezeste
Aals	alsô
Aalſ	alsô
Aan	an
Aaron	Aarôn
Ab	ab
Abacuc	[!!]
Abacuchis	--
Abacvk	Habakuc
Abbacuc	Habakuc
Abbeteie	[!!]
AbdiRꝰ	Abdirus
Abe	abe
AbeR	aber
Abende	âbende
Aber	aber
Abeʳ	aber
Abgote	apgote
Abiciamꝰ	--
Abiit	abiit
Abint	âbende
Abir	aber
Abitiamuſ	abiciamus
Aboby	--
Abraam	Abraham
Abrahameſ	Abrahames
Abrahams	Abrahames
Abrahamís	Abrahames
Abrahamſ	Abrahames
Abrahā	Abraham
Abrahemeſ	Abrahames
Abrahâmen	Abrahamen
Abram	--
Abscondes	abscondes
Abt	abbet
Abte	abbete
Abyſſe	Abysse
Abêle	[Abele]
Abýa	Abia
Abýud	Abiut
Abſalon	Absalon
Abſcondam	--
