sigle,dialect,period,corpus
M001,wmd,12_2,ReM
M002,wmd,12_2,ReM
M003,omd_ofrk,12_2,ReM
M004,bair,12_2,ReM
M005,thurhess,12_2,ReM
M006,omd_ofrk,12_2,ReM
M007,wmd,13_1,ReM
M008,thurhess,13_1,ReM
M009,bair,12_2,ReM
M010,obd,11-12_1,ReM
M011,wmd,12_2,ReM
M012,bair,13_2,ReM
M013B,wmd,12_2,ReM
M013O,wmd,12_2,ReM
M014,bair,12_2,ReM
M015,wmd,12_2,ReM
M016,bair,12_2,ReM
M017,alem,12_2,ReM
M018,bair,13_1,ReM
M019,obd,11-12_1,ReM
M020,obd,12_2,ReM
M021,bair,12_2,ReM
M022,bair,12_2,ReM
M023,bair,12_2,ReM
M024,bair,12_2,ReM
M026,bair,13_1,ReM
M027,bair,12_2,ReM
M028,bair,12_2,ReM
M029,obd,12_2,ReM
M030,bairalem,13_1,ReM
M031,bairalem,13_1,ReM
M032,wmd,12_2,ReM
M033,omd_ofrk,12_2,ReM
M034,obd,12_2,ReM
M035,obd,11-12_1,ReM
M036,rhfrhess,11-12_1,ReM
M037,obd,11-12_1,ReM
M038,alem,13_1,ReM
M040,obd,11-12_1,ReM
M041,obd,11-12_1,ReM
M044,bair,12_2,ReM
M045,wmd,13_1,ReM
M046,omd,14_1,ReM
M047,bair,12_2,ReM
M048M,obd,11-12_1,ReM
M048P,rhfrhess,11-12_1,ReM
M049,obd,11-12_1,ReM
M050,obd,11-12_1,ReM
M051,alem,12_2,ReM
M052,wmd,12_2,ReM
M053,wmd,12_2,ReM
M054,wmd,12_2,ReM
M055,alem,12_2,ReM
M056,obd,11-12_1,ReM
M057,wmd,12_2,ReM
M058,bair,13_1,ReM
M059,obd,13_1,ReM
M060,alem,12_2,ReM
M061B,bairalem,12_2,ReM
M061W,bair,13_1,ReM
M062,bair,12_2,ReM
M063,obd,12_2,ReM
M064M,mdnd,12-13_1,ReM
M064R,bairalem,13_1,ReM
M064S,mdnd,12-13_1,ReM
M065,alem,12_2,ReM
M066,md,13_2,ReM
M067,bairalem,12_2,ReM
M068,bair,12_2,ReM
M069,obd,11_2-12_1,ReM
M070,wmd,12_2,ReM
M071U,bair,13_1,ReM
M071W,bair,13_1,ReM
M072,bair,12_2,ReM
M073,wmd,13_1,ReM
M074,bair,12_2,ReM
M075,obd,11-12_1,ReM
M076A,wmd,13_1,ReM
M076B,wmd,13_1,ReM
M077,alem,12_2,ReM
M078,alem,12_2,ReM
M079,bair,12_1,ReM
M080,obd,11-12_1,ReM
M081A,bair,13_1,ReM
M081B,bair,13_1,ReM
M082,wmd,13_1,ReM
M083,alem,12_2,ReM
M084A,obd,12_2,ReM
M084B,obd,12_2,ReM
M084E,obd,13_1,ReM
M084L,obd,13_1,ReM
M084M,obd,12_2,ReM
M085,obd,11-12_1,ReM
M086,obd,11-12_1,ReM
M087,bair,12_2,ReM
M088,bair,12_2,ReM
M089,obd,11_2-12_1,ReM
M090,bairalem,12_2,ReM
M091,obd,11-12_1,ReM
M092,bairalem,12_2,ReM
M093,obd,11-12_1,ReM
M094,obd,11-12_1,ReM
M095,obd,11-12_1,ReM
M096,bair,12_2,ReM
M097,obd,11-12_1,ReM
M098,bair,12_2,ReM
M099,bair,12_2,ReM
M100,thurhess,13_1,ReM
M101,bair,12_2,ReM
M102,obd,13_1,ReM
M103,thurhess,13_1,ReM
M104,obd,11-12_1,ReM
M105,alem,12_2,ReM
M106,alem,13_1,ReM
M107G,bair,12_2,ReM
M107S,thurhess,13_1,ReM
M108M,wmd,13_1,ReM
M108P,wmd,13_1,ReM
M108S,md,13_2,ReM
M109,obd,11_2-12_1,ReM
M110,bair,12_2,ReM
M111,bair,12_2,ReM
M112,bair,13_1,ReM
M113,alem,13_1,ReM
M113Y,alem,13_1,ReM
M114,wmd,13_1,ReM
M115,obd,11-12_1,ReM
M116,bair,12_2,ReM
M117,omd_ofrk,12_2,ReM
M118,wmd,13_1,ReM
M119,bair,12_2,ReM
M120,wmd,13_1,ReM
M121F,bair,12_2,ReM
M121G,bair,12_2,ReM
M121K,bair,12_2,ReM
M121N,alem,13_1,ReM
M121S,bair,13_1,ReM
M121V,bair,12_2,ReM
M121W,bair,13_1,ReM
M121Y,bair,12_2,ReM
M122,bair,13_1,ReM
M123,bair,12_2,ReM
M124,alem,12_2,ReM
M125,bair,12_2,ReM
M126,obd,11-12_1,ReM
M127,obd,12_2,ReM
M128,rhfrhess,11-12_1,ReM
M129,wmd,12_2,ReM
M130,wmd,12_2,ReM
M131,bair,12_2,ReM
M132G,alem,13_1,ReM
M132W,bair,13_1,ReM
M133,wmd,12_2,ReM
M134,obd,13_1,ReM
M135,md,13_2,ReM
M136,wmd,12_2,ReM
M137,obd,11-12_1,ReM
M138,bair,12_2,ReM
M139,bair,13_1,ReM
M140,alem,12_2,ReM
M140B,alem,12_2,ReM
M140C,alem,13_1,ReM
M140D,bairalem,13_1,ReM
M141,bair,13_1,ReM
M142,obd,11_2-12_1,ReM
M143,obd,11_2-12_1,ReM
M144,alem,13_1,ReM
M145,bair,12_2,ReM
M146,bairalem,12_2,ReM
M147,bair,13_1,ReM
M148,mfrk,13_2,ReM
M149,bair,12_2,ReM
M150,obd,11-12_1,ReM
M151,bairalem,13_1,ReM
M152,obd,11_2-12_1,ReM
M153,rhfrhess,11-12_1,ReM
M154,bair,12_2,ReM
M155,obd,11-12_1,ReM
M156,bair,13_1,ReM
M157,bair,12_2,ReM
M158,thurhess,13_1,ReM
M159,obd,11-12_1,ReM
M160H,bair,13_1,ReM
M160M,bair,12_2,ReM
M160P,bair,13_1,ReM
M160R,bair,13_1,ReM
M161,bair,13_2,ReM
M163B,alem,12_2,ReM
M163K,bair,12_2,ReM
M165,bairalem,13_1,ReM
M167,thurhess,13_1,ReM
M168,bair,13_1,ReM
M171,alem,12_2,ReM
M172,obd,13_1,ReM
M173,bairalem,12_2,ReM
M174,bair,12_2,ReM
M177,thurhess,12_2,ReM
M178,bair,12_2,ReM
M182A,obd,11-12_1,ReM
M182B,obd,11-12_1,ReM
M182C,obd,11-12_1,ReM
M185,bair,13_1,ReM
M186,rhfrhess,11-12_1,ReM
M187,mdnd,12-13_1,ReM
M188,wmd,12_2,ReM
M188Y,wmd,12_2,ReM
M189,mdnd,12-13_1,ReM
M191,omd_ofrk,12_2,ReM
M192,obd,13_1,ReM
M193,bair,12_2,ReM
M194,bair,13_1,ReM
M195,bair,12_2,ReM
M195Y,bair,12_2,ReM
M196,bairalem,13_1,ReM
M197,obd,11-12_1,ReM
M198,bair,13_1,ReM
M199A,wmd,12_2,ReM
M199B,obd,12_2,ReM
M199C,omd_ofrk,12_2,ReM
M200,omd_ofrk,12_2,ReM
M201,md,13_2,ReM
M202,bair,12_2,ReM
M203,obd,11-12_1,ReM
M204,wmd,12_2,ReM
M205A,mdnd,12-13_1,ReM
M205E,wmd,13_1,ReM
M205M,mdnd,12-13_1,ReM
M205P,bair,12_2,ReM
M205S,mdnd,12-13_1,ReM
M205T,wmd,13_1,ReM
M205W,thurhess,13_1,ReM
M206,mdnd,12-13_1,ReM
M207,bair,12_2,ReM
M208,bair,12_2,ReM
M209,alem,12_2,ReM
M210,bair,13_1,ReM
M212,bair,12_2,ReM
M213,wmd,13_1,ReM
M214,bairalem,12_2,ReM
M214W,obd,13_1,ReM
M214Y,bairalem,12_2,ReM
M217,bairalem,12_2,ReM
M218A,obd,11-12_1,ReM
M218B,obd,11-12_1,ReM
M219,bair,13_1,ReM
M220M,obd,11-12_1,ReM
M220P,obd,11-12_1,ReM
M221,bair,12_2,ReM
M222,wmd,13_1,ReM
M223,bair,12_2,ReM
M224,bair,12_2,ReM
M225,bair,12_2,ReM
M226,mdnd,12-13_1,ReM
M227,alem,13_2,ReM
M228,obd,13_1,ReM
M229,bairalem,12_2,ReM
M230,obd,11-12_1,ReM
M232,wmd,13_1,ReM
M233,bair,13_1,ReM
M234,bair,12_2,ReM
M235,obd,11-12_1,ReM
M236,bair,13_1,ReM
M238,bair,12_2,ReM
M239,md,13_2,ReM
M240B,omd_ofrk,12_2,ReM
M241,bair,13_1,ReM
M241E,alem,13_1,ReM
M241I,bair,13_1,ReM
M241Y,bair,13_1,ReM
M242,obd,11_2-12_1,ReM
