sigle,name,language,language-area,language-region,language-type,genre,medium,time,date,text-place,text-type,library,file,n_tokens
F064,Gottesfreund vom Oberland,fnhd,oberrheinisch,westoberdeutsch,oberdeutsch,P,Handschrift,"14,2",1352-1370,Straßburg,EB,"Straßburg, National- und Universitätsbibliothek",F064.txt,16105
F073,"Cirurgia, Hieronymus Brunschwig",fnhd,oberrheinisch,westoberdeutsch,oberdeutsch,P,Druck,"15,2",1497,-,RE,Bayeri$che Staatsbibliothek,F073.txt,16610
F082,"Von Guten und Bosen Nachbaurn, Georg Wickram",fnhd,oberrheinisch,westoberdeutsch,oberdeutsch,T,Druck,"16,2",1556,-,Epik,"Bayerische Staatsbibliothek, München",F082.txt,17232
F088,Naturlehre Mainau,fnhd,hochalemannisch,westoberdeutsch,oberdeutsch,P,Handschrift,"14,2",Ende 14. Jhd.,-,RE,"Basel, Universitätsbibl.",F088.txt,5539
F094,Edlibach Chronik,fnhd,hochalemannisch,westoberdeutsch,oberdeutsch,P,Handschrift,"15,2",1485-86 und Zusätze bis 1530,"Zürich, ohchal.",CB Chronikalische und Berichts-Texte,"in Halle Auszug, nur Edition",F094.txt,18151
F106,Von Gespansten vnghüren,fnhd,hochalemannisch,westoberdeutsch,oberdeutsch,T,Druck,"16,2",1578,-,RE,Zentralbibliothek Zürich,F106.txt,16329
F112,Altväter,fnhd,schwäbisch,westoberdeutsch,oberdeutsch,P,Handschrift,"14,2",um 1400,-,EB,Württembergische Landesbibliothek Stuttgart,F112.txt,18655
F121,Eunuchus des Terenz,fnhd,schwäbisch,westoberdeutsch,oberdeutsch,P,Druck,"15,2",1486,-,Drama,Universitäts- und Landesbibliothek Darmstadt,F121.txt,15628
F131,Das Buch von Troja von Hans Mair. ,fnhd,ostschwäbisch,westoberdeutsch,oberdeutsch,P,Handschrift,"14,2",vollendet 1392,Nördlingen (?),UN,-,F131.txt,21203
F139,Heidnische Meister,fnhd,ostschwäbisch,westoberdeutsch,oberdeutsch,P,Druck,"15,2",1490,-,CB,"Herzog August Bibliothek, Wolfenbüttel",F139.txt,17277
F148,Des Herren Nachtmahl,fnhd,gesamtschwäbisch,westoberdeutsch,oberdeutsch,T,Druck,"16,2",1557,-,EB,"Bayerische Staatsbibliothek, München",F148.txt,16541
F149,Rauwolf,fnhd,gesamtschwäbisch,westoberdeutsch,oberdeutsch,T,Druck,"16,2",1582,-,CB,"Bayerische Staatsbibliothek, München",F149.txt,18948
F154,Neues Buch Köln,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,P,Handschrift,"14,2",1360-1396,Köln,CB,"Köln, Hist. Archiv d. Stadt",F154.txt,12309
F155,Sammelhandschrift München,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,P,Handschrift,"14,2","4. Viertel, 14. Jhd.",-,-,"München, Staatsbibl.",F155.txt,13766
F159,Reimchronik der Stadt Cöln,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,V,Handschrift,"15,1",1. Drittel 15. Jh.,-,CB Stadtchronik/Reimchronik,"Stadtbibliothek, Frankfurt am Main",F159.txt,16819
F161,Otto von Passau: Die 24 Alten,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,P,Handschrift,"15,2",1483,-,"EB, Lebenslehre","Köln, Historisches Archiv",F161.txt,17581
F163,Chronik der heiligen Stadt Köln,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,P,Druck,"15,2",1499,-,CB,-,F163.txt,16634
F164,Biblia Köln,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,P,Druck,"15,2",1478,-,-,Köln,F164.txt,14392
F165,Geschichte der Stadt Neuss,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,V,Druck,"15,2",1476,-,CB,"Ex. Cambridge/Mass., Houghton Libr. (ehemals Brüssel), u. Düsseldorf, UB, D. Sp. G.?434 (defekt)",F165.txt,14486
F166,Farbrezepte für Garne,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,T,Handschrift,"16,1",1. Hälfte 16. Jh.,-,nicht definiert,"Köln, Historisches Archiv der Stadt",F166.txt,1208
F167,Kräuterbuch/Rezeptsammlung ,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,T,Handschrift,"16,1",1511,-,RE,ULB Halle,F167.txt,14607
F169,Wie iunge fursten [...],fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,T,Druck,"16,1",1537,-,Rechts-und Geschäftstext; Fürstenspiegel,Bayerische Staatsbibliothek,F169.txt,0
F170,Heinrich von Neuß,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,T,Druck,"16,1",1508,-,EB,.,F170.txt,16557
F172,"Johannes Gropper, Leib und Blut Christi",fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,T,Druck,"16,2",1556,-,EB,"Bibliotheca S. J., Maison Saint-Augustin, Enghien (Belgien)",F172.txt,16874
F173,"Jaspar von Gennep, Epitome Warhaftiger Beschreibug ",fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,T,Druck,"16,2",1559,-,CB,Bayerische Staatsbibliothek,F173.txt,15492
F174,Van Gotteß gnaden ,fnhd,ripuarisch,westmitteldeutsch,mitteldeutsch,T,Druck,"16,2",1556,-,"Rechts- und Geschäftstexte, Verordnung/Gesetz",-,F174.txt,13659
F175,Pickering: Leiden Christi,fnhd,moselfränkisch,westmitteldeutsch,mitteldeutsch,P,Handschrift,"14,2",um 1400,-,EB,"Bernkastel-Kues, Bibl. im St. Nikolaus Hospital",F175.txt,7543
