sigle,title,period,dialect,typecode,ANNIS-Gruppe,Datierung (Text),Datierung (Hs.),Textbereich,Textsorte,Textart,Sprache (Hs.)/ Schreibort
M001,M001: Ad equum errehet</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,11-12,–,"Religion, Alltag",Segen,PV,rheinfränkisch
M002,M002: Ad fluxum sanguinis narium</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,11-12,–,"Religion, Alltag",Segen,P,rheinfränkisch
M003,"M003: Ad restringendum sanguinem [=Blutsegen, Erfurter]</h4>",12_2,omd_ofrk,PV-X,12_2-omd_ofrk-PV-X,12,–,"Religion, Alltag",Segen,P,ostmitteldeutsch
M004,M004: Adelbrecht: Johannes Baptista</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,um 1150 (?),"12,E-13,A","Religion, Poesie",Heiligenlegende,V,bairisch
M005,"M005: Aegidius, Trierer</h4>",12_2,thurhess,PV-G,12_2-thurhess-PV-G,um 1160,"um 1200 / 13,A","Religion, Poesie",Heiligenlegende,V,hessisch
M006,M006: Höxterer Aegidius</h4>,12_2,omd_ofrk,PV-X,12_2-omd_ofrk-PV-X,12,um 1200,"Religion, Poesie",Heiligenlegende,V,hessisch-thüringisch
M007,M007: Albanus</h4>,13_1,wmd,PV-X,13_1-wmd-PV-X,12,"13,2V","Religion, Poesie",Heiligenlegende,V,moselfränkisch
M008,M008: Straßburger Alexander</h4>,13_1,thurhess,PV-G,13_1-thurhess-PV-G,"12,3D","13,1F?",Poesie,Antikenroman,V,hessisch-thüringisch
M009,M009: Pfaffe Lambrecht: 'Alexanderlied' (V ['Vorauer Alexander])</h4>,12_2,bair,V_3-X,12_2-bair-V_3-X,um 1150/60,"12,3V",Wissen(-schaft),Geschichtsdichtung,V,"mittelfränkisch,  bairisch"
M010,M010: Alkuins Traktat 'De virtutibus et vitiis'</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,–,Religion,Didaxe,P,alemannisch
M011,M011: Andreas</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,"12,2",–,"Religion, Poesie",Heiligenlegende,V,mitteldeutsch
M012,M012: Anegenge</h4>,13_2,bair,V-X,13_2-bair-V-X,–,um 1300,"Religion, Poesie",Lehrdichtung,V,südbairisch
M013B,M013B: Annolied (V: Bonaventura Vulcanius)</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,um 1080,–,"Religion, Wissen(-schaft), Poesie","Heiligenlegende, Geschichtsdichtung",V,mitteldeutsch
M013O,M013O: Annolied (O: Opitz)</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,um 1080,–,"Religion, Wissen(-schaft), Poesie","Heiligenlegende, Geschichtsdichtung",V,"mittelfränkisch, rheinfränkisch"
M014,M014: Priester Arnold: 'Loblied a.d. hl. Geist' ('Von der Siebenzahl')</h4>,12_2,bair,V_3-X,12_2-bair-V_3-X,um 1160 (?),"12,4V","Religion, Poesie",Lehrdichtung,V,bairisch
M015,M015: Bamberger Arzneibuch ['Arzenîbuoch Ipocratis' (B)]</h4>,12_2,wmd,PVU-X,12_2-wmd-PVU-X,um 1100 (?),"12,M","Wissen(-schaft), Alltag",Arzneibuch,P,rheinfränkisch
M016,M016: Das Innsbrucker Arzneibuch</h4>,12_2,bair,P-X,12_2-bair-P-X,–,"12,3V","Wissen(-schaft), Alltag",Arzneibuch,P,bairisch
M017,"M017: Arzneibuch, Züricher</h4>",12_2,alem,PV-X,12_2-alem-PV-X,–,"12,E","Wissen(-schaft), Alltag",Arzneibuch,P,alemannisch
M018,"M018: Augensegen, Cambridger A75</h4>",13_1,bair,P-X,13_1-bair-P-X,–,–,"Religion, Alltag",Segen,P,bairisch
M019,"M019: Augensegen, Münchner (Regensburger)</h4>",11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,–,"Religion, Alltag",Segen,P,bairisch
M020,M020: Münchener Ausfahrtsegen</h4>,12_2,obd,PV-X,12_2-obd-PV-X,–,–,"Religion, Poesie",Segen,V,oberdeutsch
M021,M021: Auslegung des Vaterunser</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,"12,M","12,3V",Religion,Reimtheologie,V,bairisch
M022,M022: Frau Ava: Antichrist (V)</h4>,12_2,bair,V_3-X,12_2-bair-V_3-X,–,"12,4V",Religion,Bibeldichtung,V,bairisch/ Vorau
M023,M023: Frau Ava: Jüngstes Gericht (V)</h4>,12_2,bair,V_3-X,12_2-bair-V_3-X,–,"12,4V",Religion,Bibeldichtung,V,bairisch/ Vorau
M024,M024: Ava: Leben Jesu</h4>,12_2,bair,V_3-X,12_2-bair-V_3-X,vor 1127 (?),"12,4V; 14",Religion,Bibeldichtung,V,bairisch
M026,M026: Ave Maria</h4>,13_1,bair,V-X,13_1-bair-V-X,41609,–,Religion,Gebet,V,bairisch
M027,M027: Von der Babylonischen Gefangenschaft</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,–,–,Religion,Bibeldichtung,V,bairisch
M028,"M028: Balaam, Vorauer (Bücher Mosis 5)</h4>",12_2,bair,V_2-X,12_2-bair-V_2-X,12,"12,4V",Religion,Bibeldichtung,V,bairisch
M029,M029: Von der Bedeutung der Buchstaben</h4>,12_2,obd,PV-X,12_2-obd-PV-X,–,–,Alltag,–,P,oberdeutsch
M030,M030: Benediktbeuer Gebet zum Messopfer</h4>,13_1,bairalem,PV-X,13_1-bairalem-PV-X,–,"13,1V",Religion,Gebet,V,bairisch
M031,M031: Blutsegen (Millstätter)</h4>,13_1,bairalem,PV-X,13_1-bairalem-PV-X,–,"13,2V","Religion, Alltag",Segen,P,bairisch-alemannisch
M032,"M032: Blutsegen, Abdinghofer</h4>",12_2,wmd,PVU-X,12_2-wmd-PVU-X,–,"12,M","Religion, Alltag",Segen,P,rheinfränkisch
M033,M033: Bamberger Blutsegen</h4>,12_2,omd_ofrk,PV-X,12_2-omd_ofrk-PV-X,12?,"12,3V","Religion, Alltag",Segen,PV,ostfränkisch
M034,M034: Blutsegen Contra fluxum sanguinis</h4>,12_2,obd,PV-X,12_2-obd-PV-X,12?,–,"Religion, Alltag",Segen,PV,alemannisch (?)
M035,"M035: Blutsegen, Millstätter (St. Blasianer)</h4>",11-12_1,obd,PV-X,11-12_1-obd-PV-X,–,"12,A","Religion, Alltag",–,P,westniederalemannisch/  St. Blasien (?)
M036,M036: Schlettstädter Blutsegen</h4>,11-12_1,rhfrhess,PV-X,11-12_1-rhfrhess-PV-X,11 (?),–,"Religion, Poesie",Segen,V,rheinfränkisch (?)
M037,M037: Straßburger Blutsegen</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11 (?),–,"Religion, Poesie",Segen,V,alemannisch (?)
M038,"M038: Bote, Der heimliche</h4>",13_1,alem,PV-X,13_1-alem-PV-X,–,"13,1V",Poesie,Minnelehre,V,alemannisch
M040,M040: Brieger Psalmenfragmente</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11 (?),um 1100,Religion,Psalmenübersetzung,P,bairisch (?)
M041,"M041: Buchunterschrift, deutsche</h4>",11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,"11,A; 11,3V",Wissen(-schaft),–,P,alemannisch
M044,M044: Osterlied 'Christ ist erstanden'</h4>,12_2,bair,V_1-X,12_2-bair-V_1-X,–,"um 1160 (Lipphardt [1978], Sp. 1197); zwischen 1181 und 1198 (Praßl, S. 31ff.)","Religion, Poesie",Lied,V,bairisch/ Salzburger Domstift
M045,"M045: Christi Geburt, Von</h4>",13_1,wmd,PV-X,13_1-wmd-PV-X,12,"13,1D",Religion,Bibeldichtung,V,mittelfränkisch
M046,M046: Christus und Pilatus</h4>,14_1,omd,PV-X,14_1-omd-PV-X,–,"14,A",Religion,Bibeldichtung,V,"ostmitteldeutsch, niederdeutsch"
M047,M047: Codex Falkensteinensis</h4>,12_2,bair,P-X,12_2-bair-P-X,–,"1168-1195 (Noichl, S. 67, 140 und 164)",Alltag,–,P,südbairisch
M048M,M048M: Contra caducum morbum (M)</h4>,11-12_1,obd,PV-X,11-12_1-obd-PV-X,11,–,"Religion, Alltag",Segen,P,bairisch
M048P,M048P: Contra caducum morbum (P)</h4>,11-12_1,rhfrhess,PV-X,11-12_1-rhfrhess-PV-X,12?,–,"Religion, Alltag",Segen,P,(süd)rheinfränkisch (?)
