sigle,dialect,period,corpus,file
M001,ReM/wmd,12,ReM,M001-N1.txt
M002,ReM/wmd,12,ReM,M002-N1.txt
M003,ReM/omd_ofrk,12,ReM,M003-N1.txt
M004,ReM/bair,12,ReM,M004-N1.txt
M005,ReM/thurhess,12,ReM,M005-G1.txt
M006,ReM/omd_ofrk,12,ReM,M006-G1.txt
M007,ReM/wmd,13,ReM,M007-N1.txt
M008,ReM/thurhess,13,ReM,M008-G1.txt
M009,ReM/bair,12,ReM,M009-N1.txt
M010,ReM/obd,11,ReM,M010-N1.txt
M011,ReM/wmd,12,ReM,M011-N1.txt
M012,ReM/bair,13,ReM,M012-N0.txt
M013B,ReM/wmd,12,ReM,M013B-N1.txt
M013O,ReM/wmd,12,ReM,M013O-N1.txt
M014,ReM/bair,12,ReM,M014-N1.txt
M015,ReM/wmd,12,ReM,M015-N1.txt
M016,ReM/bair,12,ReM,M016-N1.txt
M017,ReM/alem,12,ReM,M017-N1.txt
M018,ReM/bair,13,ReM,M018-N1.txt
M019,ReM/obd,11,ReM,M019-N1.txt
M020,ReM/obd,12,ReM,M020-N1.txt
M021,ReM/bair,12,ReM,M021-N1.txt
M022,ReM/bair,12,ReM,M022-N1.txt
M023,ReM/bair,12,ReM,M023-N1.txt
M024,ReM/bair,12,ReM,M024-N1.txt
M026,ReM/bair,13,ReM,M026-N1.txt
M027,ReM/bair,12,ReM,M027-N1.txt
M028,ReM/bair,12,ReM,M028-N1.txt
M029,ReM/obd,12,ReM,M029-N1.txt
M030,ReM/bairalem,13,ReM,M030-N1.txt
M031,ReM/bairalem,13,ReM,M031-N1.txt
M032,ReM/wmd,12,ReM,M032-N1.txt
M033,ReM/omd_ofrk,12,ReM,M033-N1.txt
M034,ReM/obd,12,ReM,M034-N1.txt
M035,ReM/obd,11,ReM,M035-N1.txt
M036,ReM/rhfrhess,11,ReM,M036-N1.txt
M037,ReM/obd,11,ReM,M037-N1.txt
M038,ReM/alem,13,ReM,M038-N1.txt
M040,ReM/obd,11,ReM,M040-N1.txt
M041,ReM/obd,11,ReM,M041-N1.txt
M044,ReM/bair,12,ReM,M044-N1.txt
M045,ReM/wmd,13,ReM,M045-N1.txt
M046,ReM/omd,14,ReM,M046-N1.txt
M047,ReM/bair,12,ReM,M047-N1.txt
M048M,ReM/obd,11,ReM,M048M-N1.txt
M048P,ReM/rhfrhess,11,ReM,M048P-N1.txt
M049,ReM/obd,11,ReM,M049-N1.txt
M050,ReM/obd,11,ReM,M050-N1.txt
M051,ReM/alem,12,ReM,M051-N1.txt
M052,ReM/wmd,12,ReM,M052-N1.txt
M053,ReM/wmd,12,ReM,M053-N1.txt
M054,ReM/wmd,12,ReM,M054-N1.txt
M055,ReM/alem,12,ReM,M055-N1.txt
M056,ReM/obd,11,ReM,M056-N1.txt
M057,ReM/wmd,12,ReM,M057-N1.txt
M058,ReM/bair,13,ReM,M058-N1.txt
M059,ReM/obd,13,ReM,M059-N1.txt
M060,ReM/alem,12,ReM,M060-N1.txt
M061B,ReM/bairalem,12,ReM,M061B-G1.txt
M061W,ReM/bair,13,ReM,M061W-N1.txt
M062,ReM/bair,12,ReM,M062-N1.txt
M063,ReM/obd,12,ReM,M063-N1.txt
M064M,ReM/mdnd,12,ReM,M064M-N1.txt
M064R,ReM/bairalem,13,ReM,M064R-N1.txt
M064S,ReM/mdnd,12,ReM,M064S-N1.txt
M065,ReM/alem,12,ReM,M065-G1.txt
M066,ReM/md,13,ReM,M066-N1.txt
M067,ReM/bairalem,12,ReM,M067-G1.txt
M068,ReM/bair,12,ReM,M068-N1.txt
M069,ReM/obd,11,ReM,M069-G1.txt
M070,ReM/wmd,12,ReM,M070-N1.txt
M071U,ReM/bair,13,ReM,M071U-N1.txt
M071W,ReM/bair,13,ReM,M071W-N1.txt
M072,ReM/bair,12,ReM,M072-N1.txt
M073,ReM/wmd,13,ReM,M073-N1.txt
M074,ReM/bair,12,ReM,M074-N1.txt
M075,ReM/obd,11,ReM,M075-N1.txt
M076,ReM/?,?,ReM,M076-N1.txt
M076A,ReM/wmd,13,ReM,M076A-N1.txt
M076B,ReM/wmd,13,ReM,M076B-N1.txt
M077,ReM/alem,12,ReM,M077-G1.txt
M078,ReM/alem,12,ReM,M078-N1.txt
M080,ReM/obd,11,ReM,M080-N1.txt
M081A,ReM/bair,13,ReM,M081A-N1.txt
M081B,ReM/bair,13,ReM,M081B-N1.txt
M082,ReM/wmd,13,ReM,M082-G1.txt
M083,ReM/alem,12,ReM,M083-N1.txt
M084A,ReM/obd,12,ReM,M084A-N1.txt
M084B,ReM/obd,12,ReM,M084B-N1.txt
M084E,ReM/obd,13,ReM,M084E-N1.txt
M084L,ReM/obd,13,ReM,M084L-N1.txt
M084M,ReM/obd,12,ReM,M084M-N1.txt
M085,ReM/obd,11,ReM,M085-N1.txt
M086,ReM/obd,11,ReM,M086-N1.txt
M087,ReM/bair,12,ReM,M087-N1.txt
M088,ReM/bair,12,ReM,M088-N1.txt
M089,ReM/obd,11,ReM,M089-G1.txt
M090,ReM/bairalem,12,ReM,M090-N1.txt
M091,ReM/obd,11,ReM,M091-N1.txt
M092,ReM/bairalem,12,ReM,M092-N1.txt
M093,ReM/obd,11,ReM,M093-N1.txt
M094,ReM/obd,11,ReM,M094-N1.txt
M095,ReM/obd,11,ReM,M095-N1.txt
M096,ReM/bair,12,ReM,M096-N1.txt
M097,ReM/obd,11,ReM,M097-N1.txt
M098,ReM/bair,12,ReM,M098-N1.txt
M099,ReM/bair,12,ReM,M099-N1.txt
M100,ReM/thurhess,13,ReM,M100-G1.txt
M101,ReM/bair,12,ReM,M101-N1.txt
M102,ReM/obd,13,ReM,M102-N1.txt
M103,ReM/thurhess,13,ReM,M103-G1.txt
M103,ReM/thurhess,13,ReM,M103-N1.txt
M104,ReM/obd,11,ReM,M104-N1.txt
M105,ReM/alem,12,ReM,M105-N1.txt
M106,ReM/alem,13,ReM,M106-N1.txt
M107G,ReM/bair,12,ReM,M107G-G1.txt
M107S,ReM/thurhess,13,ReM,M107S-N1.txt
M108M,ReM/wmd,13,ReM,M108M-N1.txt
M108P,ReM/wmd,13,ReM,M108P-N1.txt
M108S,ReM/md,13,ReM,M108S-N1.txt
M110,ReM/bair,12,ReM,M110-N1.txt
M111,ReM/bair,12,ReM,M111-N1.txt
M112,ReM/bair,13,ReM,M112-G1.txt
M113,ReM/alem,13,ReM,M113-G1.txt
M113Y,ReM/alem,13,ReM,M113y-N1.txt
M114,ReM/wmd,13,ReM,M114-N1.txt
M115,ReM/obd,11,ReM,M115-N1.txt
M116,ReM/bair,12,ReM,M116-N1.txt
M117,ReM/omd_ofrk,12,ReM,M117-G1.txt
M118,ReM/wmd,13,ReM,M118-N1.txt
M119,ReM/bair,12,ReM,M119-N1.txt
M120,ReM/wmd,13,ReM,M120-N1.txt
M121F,ReM/bair,12,ReM,M121F-N1.txt
M121G,ReM/bair,12,ReM,M121G-N1.txt
M121K,ReM/bair,12,ReM,M121K-N1.txt
M121N,ReM/alem,13,ReM,M121N-N1.txt
